ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
7;NL01;2015JJ00;4154303;235839;11437;11823;16093;2236317;183138;415264
15;LD01;2015JJ00;1138884;33930;1464;1631;2188;630879;45767;230068
23;LD02;2015JJ00;1096935;53970;2483;2935;4016;634883;84763;
31;LD03;2015JJ00;1189328;88330;5052;4124;5923;536710;52608;185196
39;LD04;2015JJ00;729156;59608;2437;3133;3967;433845;;
47;PV20;2015JJ00;295964;11058;464;586;768;187007;;55409
55;PV21;2015JJ00;574877;12218;573;398;680;257646;45767;174659
63;PV22;2015JJ00;268043;10654;428;647;740;186226;;
71;PV23;2015JJ00;342074;17217;884;559;1108;237910;;
79;PV24;2015JJ00;241231;5583;250;409;429;98530;84763;
87;PV25;2015JJ00;513630;31170;1349;1967;2479;298443;;
95;PV26;2015JJ00;144913;15356;770;969;1426;80572;;
103;PV27;2015JJ00;409193;30307;1889;1571;1875;156968;52608;68301
111;PV28;2015JJ00;341878;35465;2023;1254;2344;162858;;16445
119;PV29;2015JJ00;293344;7202;370;329;278;136312;;100450
127;PV30;2015JJ00;508206;39666;1659;2138;2594;304515;;
135;PV31;2015JJ00;220951;19942;777;995;1373;129331;;
143;CR01;2015JJ00;90706;3843;118;106;203;67291;;5543
151;CR02;2015JJ00;36407;1082;47;25;86;22473;;9145
159;CR03;2015JJ00;168852;6133;299;455;479;97244;;40721
167;CR04;2015JJ00;335441;6074;237;282;358;113389;;174013
175;CR05;2015JJ00;138783;2535;142;53;106;68600;45767;645
183;CR06;2015JJ00;100654;3609;194;63;216;75657;;
191;CR07;2015JJ00;106122;4185;146;366;429;71682;;
199;CR08;2015JJ00;92384;4187;159;173;146;67781;;
207;CR09;2015JJ00;69536;2282;122;108;164;46762;;
215;CR10;2015JJ00;149198;5266;273;250;371;105191;;
223;CR11;2015JJ00;42499;2112;93;74;187;32029;;
231;CR12;2015JJ00;150377;9839;518;235;549;100690;;
239;CR13;2015JJ00;186043;10057;479;1127;1031;77514;;
247;CR14;2015JJ00;156108;6716;303;217;429;118726;;
255;CR15;2015JJ00;95892;10675;440;508;851;47275;;
263;CR16;2015JJ00;75587;3721;127;115;169;54929;;
271;CR17;2015JJ00;144913;15356;770;969;1426;80572;;
279;CR18;2015JJ00;214168;5889;329;547;244;83731;39866;62372
287;CR19;2015JJ00;32361;3554;211;119;234;16258;;2036
295;CR20;2015JJ00;19763;2264;169;220;131;5170;;2397
303;CR21;2015JJ00;15212;2505;115;75;231;2152;;1495
311;CR22;2015JJ00;12841;1719;125;33;88;6836;;
319;CR23;2015JJ00;87509;10507;804;419;697;36053;10631;
327;CR24;2015JJ00;27338;3870;136;159;250;6767;2111;
335;CR25;2015JJ00;31836;4322;239;105;482;14800;;2041
343;CR26;2015JJ00;28631;7069;505;242;492;6097;;2210
351;CR27;2015JJ00;16418;1996;144;87;188;8801;;735
359;CR28;2015JJ00;52112;3620;143;112;204;36690;;
367;CR29;2015JJ00;161601;13884;815;584;746;64571;;11458
375;CR30;2015JJ00;51280;4574;178;124;232;31899;;
383;CR31;2015JJ00;87674;2339;132;105;78;59484;;12799
391;CR32;2015JJ00;205670;4863;237;224;200;76828;;87651
399;CR33;2015JJ00;130308;9387;459;606;576;79366;;
407;CR34;2015JJ00;93335;6882;304;410;461;56317;;
415;CR35;2015JJ00;138796;10482;366;498;804;92450;;
423;CR36;2015JJ00;145766;12915;530;624;754;76382;;
431;CR37;2015JJ00;85415;4840;178;372;429;51525;;
439;CR38;2015JJ00;69480;4713;187;313;304;41655;;
447;CR39;2015JJ00;66056;10389;412;310;640;36150;;
