gebieden;code;zon;biogas;wind
Aa en Hunze;1680;48;21;
Aalsmeer;358;22;0;
Aalten;197;30;0;114
Achtkarspelen;59;47;8;4
Alblasserdam;482;8;0;
Albrandswaard;613;10;0;
Alkmaar;361;63;4;59
Almelo;141;38;0;
Almere;34;113;2;236
Alphen aan den Rijn;484;67;10;74
Alphen-Chaam;1723;12;0;
Altena;1959;37;0;
Ameland;60;30;0;
Amersfoort;307;72;35;
Amstelveen;362;24;7;
Amsterdam;363;156;0;415
Apeldoorn;200;110;27;
Appingedam;3;13;0;
Arnhem;202;63;6;
Assen;106;69;4;
Asten;743;30;0;
Baarle-Nassau;744;8;0;
Baarn;308;12;0;
Barendrecht;489;26;0;
Barneveld;203;54;0;0
Beek;888;18;0;
Beekdaelen;1954;43;6;
Beemster;370;10;0;
Beesel;889;14;0;
Berg en Dal;1945;25;0;
Bergeijk;1724;27;0;
Bergen (L.);893;13;0;
Bergen (NH.);373;25;0;0
Bergen op Zoom;748;35;3;38
Berkelland;1859;58;12;
Bernheze;1721;35;16;
Best;753;27;0;
Beuningen;209;20;30;
Beverwijk;375;16;0;
De Bilt;310;18;0;
Bladel;1728;25;0;
Blaricum;376;4;0;
Bloemendaal;377;7;0;
Bodegraven-Reeuwijk;1901;29;0;
Boekel;755;22;0;
Borger-Odoorn;1681;46;25;
Borne;147;19;2;
Borsele;654;74;1;375
Boxmeer;756;47;0;
Boxtel;757;27;2;
Breda;758;78;28;65
Brielle;501;10;0;
Bronckhorst;1876;51;4;
Brummen;213;17;0;
Brunssum;899;21;0;
Bunnik;312;14;0;
Bunschoten;313;21;0;
Buren;214;26;0;54
Capelle aan den IJssel;502;11;25;19
Castricum;383;26;0;
Coevorden;109;58;39;
Cranendonck;1706;26;0;
Cuijk;1684;25;11;
Culemborg;216;24;0;36
Dalfsen;148;59;35;58
Dantumadiel;1891;14;0;1
Delft;503;31;0;
Delfzijl;10;154;0;1046
Deurne;762;38;0;
Deventer;150;68;10;31
Diemen;384;8;0;
Dinkelland;1774;47;0;
Doesburg;221;5;0;
Doetinchem;222;44;0;
Dongen;766;16;0;
Dordrecht;505;31;8;58
Drechterland;498;27;0;6
Drimmelen;1719;15;0;1
Dronten;303;99;34;1089
Druten;225;13;0;
Duiven;226;28;10;52
Echt-Susteren;1711;42;10;
Edam-Volendam;385;18;0;
Ede;228;95;7;39
Eemnes;317;21;0;
Eersel;770;31;0;
Eijsden-Margraten;1903;33;0;
Eindhoven;772;115;0;
Elburg;230;20;10;
Emmen;114;166;16;
Enkhuizen;388;12;0;22
Enschede;153;74;15;
Epe;232;23;0;
Ermelo;233;29;5;
Etten-Leur;777;27;0;198
De Fryske Marren;1940;60;13;228
Geertruidenberg;779;20;0;
Geldrop-Mierlo;1771;25;0;
Gemert-Bakel;1652;38;32;
Gennep;907;15;0;
Gilze en Rijen;784;27;1;
Goeree-Overflakkee;1924;139;0;472
Goes;664;42;0;1
Goirle;785;19;0;
Gooise Meren;1942;15;0;
Gorinchem;512;16;0;
Gouda;513;24;0;3
Grave;786;8;0;
Den Haag;518;90;25;24
Groningen;14;169;34;1
Gulpen-Wittem;1729;14;2;
Haaksbergen;158;25;0;
Haaren;788;13;0;
Haarlem;392;43;12;5
Haarlemmermeer;394;183;0;65
Halderberge;1655;26;0;245
Hardenberg;160;91;35;
Harderwijk;243;32;13;
Hardinxveld-Giessendam;523;9;0;
Harlingen;72;30;0;175
Hattem;244;7;0;
Heemskerk;396;20;0;15
Heemstede;397;11;0;
Heerde;246;13;0;
Heerenveen;74;62;2;17
Heerhugowaard;398;52;0;47
Heerlen;917;54;0;
Heeze-Leende;1658;19;11;
Heiloo;399;16;2;
Den Helder;400;28;4;12
Hellendoorn;163;36;0;
Hellevoetsluis;530;16;0;15
Helmond;794;33;0;
Hendrik-Ido-Ambacht;531;10;0;
Hengelo;164;52;23;
Den Bosch;796;73;2;18
Heumen;252;13;0;
Heusden;797;33;2;
Hillegom;534;16;0;
Hilvarenbeek;798;20;35;
Hilversum;402;24;0;
Hoeksche Waard;1963;51;0;50
Hof van Twente;1735;57;12;
Het Hogeland;1966;91;12;2287
Hollands Kroon;1911;119;9;854
Hoogeveen;118;66;12;
Hoorn;405;38;0;
Horst aan de Maas;1507;76;53;
Houten;321;40;0;48
Huizen;406;21;0;
Hulst;677;33;0;
IJsselstein;353;16;13;
Kaag en Braassem;1884;23;0;
Kampen;166;68;4;65
Kapelle;678;22;5;59
Katwijk;537;24;0;
Kerkrade;928;39;0;
Koggenland;1598;26;0;77
Krimpen aan den IJssel;542;10;0;
Krimpenerwaard;1931;27;0;
Laarbeek;1659;21;0;
Landerd;1685;17;0;
Landgraaf;882;38;8;
Landsmeer;415;5;0;1
Langedijk;416;25;0;16
Lansingerland;1621;59;0;
Laren;417;3;0;
Leeuwarden;80;132;45;50
Leiden;546;28;8;
Leiderdorp;547;12;0;
Leidschendam-Voorburg;1916;19;0;
Lelystad;995;77;6;1203
Leudal;1640;67;29;
Leusden;327;26;0;
Lingewaard;1705;37;0;
Lisse;553;14;0;
Lochem;262;34;0;
Loon op Zand;809;14;0;
Lopik;331;15;0;35
Loppersum;24;24;0;0
Losser;168;25;0;
Maasdriel;263;31;1;
Maasgouw;1641;25;0;
Maassluis;556;8;0;
Maastricht;935;53;5;
Medemblik;420;63;0;65
Meerssen;938;19;0;
Meierijstad;1948;118;1;
Meppel;119;28;0;
Middelburg;687;77;0;37
Midden-Delfland;1842;20;61;
Midden-Drenthe;1731;55;61;
Midden-Groningen;1952;78;68;0
Mill en Sint Hubert;815;12;69;
Moerdijk;1709;52;3;285
Molenlanden;1978;41;0;54
Montferland;1955;49;0;26
Montfoort;335;15;0;
Mook en Middelaar;944;8;0;
Neder-Betuwe;1740;29;0;51
Nederweert;946;53;0;
Nieuwegein;356;29;0;80
Nieuwkoop;569;20;0;
Nijkerk;267;47;2;
Nijmegen;268;76;0;63
Nissewaard;1930;30;0;
Noardeast-Fryslân;1970;43;72;100
Noord-Beveland;1695;18;0;238
Noordenveld;1699;34;10;
Noordoostpolder;171;209;52;3516
Noordwijk;575;24;0;
Nuenen, Gerwen en Nederwetten;820;18;4;
Nunspeet;302;14;0;
Oegstgeest;579;9;0;
Oirschot;823;20;42;50
Oisterwijk;824;20;0;34
Oldambt;1895;53;83;1
Oldebroek;269;20;0;
Oldenzaal;173;27;0;
Olst-Wijhe;1773;29;0;
Ommen;175;33;0;
Oost Gelre;1586;42;9;
Oosterhout;826;28;8;96
Ooststellingwerf;85;74;13;0
Oostzaan;431;5;0;
Opmeer;432;19;20;
Opsterland;86;33;0;
Oss;828;73;1;
Oude IJsselstreek;1509;44;8;51
Ouder-Amstel;437;7;0;12
Oudewater;589;10;0;
Overbetuwe;1734;37;0;
Papendrecht;590;13;0;
Peel en Maas;1894;60;11;
Pekela;765;11;0;0
Pijnacker-Nootdorp;1926;37;0;
Purmerend;439;45;0;
Putten;273;19;27;
Raalte;177;69;39;
Reimerswaal;703;35;11;774
Renkum;274;19;3;
Renswoude;339;6;0;
Reusel-De Mierden;1667;20;8;98
Rheden;275;20;0;
Rhenen;340;10;0;
Ridderkerk;597;22;0;
Rijssen-Holten;1742;32;2;
Rijswijk;603;22;0;
Roerdalen;1669;22;3;
Roermond;957;45;9;
De Ronde Venen;736;33;0;18
Roosendaal;1674;48;30;59
Rotterdam;599;94;32;1295
Rozendaal;277;1;0;
Rucphen;840;14;0;
Schagen;441;60;11;159
Scherpenzeel;279;7;0;
Schiedam;606;12;0;
Schiermonnikoog;88;2;0;
Schouwen-Duiveland;1676;51;0;794
Simpelveld;965;11;0;
Sint Anthonis;1702;25;138;
Sint-Michielsgestel;845;27;0;
Sittard-Geleen;1883;65;0;
Sliedrecht;610;16;0;
Sluis;1714;30;0;76
Smallingerland;90;43;5;
Soest;342;26;0;
Someren;847;42;24;
Son en Breugel;848;27;0;
Stadskanaal;37;88;46;
Staphorst;180;25;0;29
Stede Broec;532;20;0;
Steenbergen;851;25;0;193
Steenwijkerland;1708;44;53;
Stein;971;28;0;
Stichtse Vecht;1904;28;0;
Súdwest-Fryslân;1900;108;36;589
Terneuzen;715;48;35;304
Terschelling;93;9;0;
Texel;448;19;0;2
Teylingen;1525;30;0;
Tholen;716;28;0;274
Tiel;281;33;2;
Tilburg;855;144;36;88
Tubbergen;183;24;21;
Twenterand;1700;30;0;
Tynaarlo;1730;38;59;
Tytsjerksteradiel;737;51;26;4
Uden;856;66;0;
Uitgeest;450;8;0;
Uithoorn;451;17;0;
Urk;184;16;0;109
Utrecht;344;139;0;
Utrechtse Heuvelrug;1581;30;4;
Vaals;981;7;0;
Valkenburg aan de Geul;994;15;0;
Valkenswaard;858;16;1;
Veendam;47;79;87;
Veenendaal;345;30;0;
Veere;717;41;0;344
Veldhoven;861;31;0;
Velsen;453;30;0;66
Venlo;983;96;8;
Venray;984;77;73;
Vijfheerenlanden;1961;50;0;86
Vlaardingen;622;15;1;32
Vlieland;96;3;0;
Vlissingen;718;36;13;147
Voerendaal;986;14;0;
Voorschoten;626;8;0;
Voorst;285;21;3;
Vught;865;11;0;
