gemeente;totaal
Aa en Hunze;222
Aalsmeer;69
Aalten;226
Achtkarspelen;132
Alblasserdam;48
Albrandswaard;60
Alkmaar;1975
Almelo;269
Almere;719
Alphen aan den Rijn;350
Alphen-Chaam;46
Altena;261
Ameland;35
Amersfoort;531
Amstelveen;243
Amsterdam;4802
Apeldoorn;890
Appingedam;48
Arnhem;479
Assen;253
Asten;114
Baarle-Nassau;30
Baarn;77
Barendrecht;147
Barneveld;313
Beek;86
Beekdaelen;143
Beemster;82
Beesel;68
Berg en Dal;118
Bergeijk;92
Bergen (L.);282
Bergen (NH.);104
Bergen op Zoom;234
Berkelland;1540
Bernheze;363
Best;160
Beuningen;1022
Beverwijk;101
De Bilt;166
Bladel;108
Blaricum;54
Bloemendaal;56
Bodegraven-Reeuwijk;221
Boekel;65
Borger-Odoorn;198
Borne;87
Borsele;546
Boxmeer;139
Boxtel;244
Breda;856
Brielle;337
Bronckhorst;241
Brummen;89
Brunssum;66
Bunnik;87
Bunschoten;62
Buren;526
Capelle aan den IJssel;170
Castricum;114
Coevorden;351
Cranendonck;113
Cuijk;859
Culemborg;119
Dalfsen;280
Dantumadiel;83
Delft;198
Delfzijl;5050
Deurne;177
Deventer;411
Diemen;77
Dinkelland;192
Doesburg;30
Doetinchem;201
Dongen;82
Dordrecht;1216
Drechterland;94
Drimmelen;119
Dronten;1438
Druten;57
Duiven;1071
Echt-Susteren;218
Edam-Volendam;85
Ede;865
Eemnes;86
Eersel;122
Eijsden-Margraten;114
Eindhoven;870
Elburg;117
Emmen;554
Enkhuizen;70
Enschede;370
Epe;149
Ermelo;119
Etten-Leur;337
De Fryske Marren;960
Geertruidenberg;1917
Geldrop-Mierlo;138
Gemert-Bakel;292
Gennep;69
Gilze en Rijen;163
Goeree-Overflakkee;813
Goes;244
Goirle;111
Gooise Meren;207
Gorinchem;101
Gouda;190
Grave;43
Den Haag;782
Groningen;998
Gulpen-Wittem;64
Haaksbergen;191
Haaren;54
Haarlem;247
Haarlemmermeer;1123
Halderberge;421
Hardenberg;648
Harderwijk;233
Hardinxveld-Giessendam;82
Harlingen;1535
Hattem;88
Heemskerk;333
Heemstede;52
Heerde;119
Heerenveen;277
Heerhugowaard;226
Heerlen;284
Heeze-Leende;139
Heiloo;61
Den Helder;142
Hellendoorn;242
Hellevoetsluis;99
Helmond;205
Hendrik-Ido-Ambacht;68
Hengelo;2963
Den Bosch;659
Heumen;69
Heusden;159
Hillegom;47
Hilvarenbeek;210
Hilversum;246
Hoeksche Waard;366
Hof van Twente;305
Het Hogeland;2612
Hollands Kroon;1846
Hoogeveen;300
Hoorn;154
Horst aan de Maas;753
Houten;166
Huizen;64
Hulst;125
IJsselstein;98
Kaag en Braassem;186
Kampen;471
Kapelle;167
Katwijk;126
Kerkrade;111
Koggenland;212
Krimpen aan den IJssel;43
Krimpenerwaard;205
Laarbeek;124
Landerd;95
Landgraaf;109
Landsmeer;27
Langedijk;112
Lansingerland;1083
Laren;56
Leeuwarden;538
Leiden;248
Leiderdorp;65
Leidschendam-Voorburg;147
Lelystad;1746
Leudal;363
Leusden;84
Lingewaard;265
Lisse;55
Lochem;144
Loon op Zand;122
Lopik;89
Loppersum;61
Losser;94
Maasdriel;160
Maasgouw;218
Maassluis;38
Maastricht;711
Medemblik;265
Meerssen;83
Meierijstad;570
Meppel;149
Middelburg;194
Midden-Delfland;550
Midden-Drenthe;1422
Midden-Groningen;560
Mill en Sint Hubert;435
Moerdijk;3808
Molenlanden;239
Montferland;172
Montfoort;50
Mook en Middelaar;28
Neder-Betuwe;434
Nederweert;104
Nieuwegein;239
Nieuwkoop;102
Nijkerk;220
Nijmegen;421
Nissewaard;109
Noardeast-Fryslân;408
Noord-Beveland;307
Noordenveld;196
Noordoostpolder;4308
Noordwijk;105
Nuenen, Gerwen en Nederwetten;105
Nunspeet;109
Oegstgeest;64
Oirschot;275
Oisterwijk;140
Oldambt;410
Oldebroek;112
Oldenzaal;97
Olst-Wijhe;112
Ommen;197
Oost Gelre;288
Oosterhout;308
Ooststellingwerf;189
Oostzaan;39
Opmeer;64
Opsterland;140
Oss;411
Oude IJsselstreek;300
Ouder-Amstel;124
Oudewater;30
Overbetuwe;268
Papendrecht;82
Peel en Maas;303
Pekela;60
Pijnacker-Nootdorp;543
Purmerend;1609
Putten;195
Raalte;302
Reimerswaal;1214
Renkum;640
Renswoude;23
Reusel-De Mierden;191
Rheden;117
Rhenen;62
Ridderkerk;146
Rijssen-Holten;303
Rijswijk;89
Roerdalen;100
Roermond;165
De Ronde Venen;232
Roosendaal;942
Rotterdam;7820
Rozendaal;7
Rucphen;99
Schagen;365
Scherpenzeel;28
Schiedam;128
Schiermonnikoog;5
Schouwen-Duiveland;989
Simpelveld;40
Sint Anthonis;400
Sint-Michielsgestel;121
Sittard-Geleen;642
Sliedrecht;75
Sluis;228
Smallingerland;237
Soest;120
Someren;203
Son en Breugel;1020
Stadskanaal;208
Staphorst;143
Stede Broec;53
Steenbergen;323
Steenwijkerland;304
Stein;190
Stichtse Vecht;274
Súdwest-Fryslân;1124
Terneuzen;578
Terschelling;21
Texel;58
Teylingen;113
Tholen;370
Tiel;156
Tilburg;888
Tubbergen;162
Twenterand;212
Tynaarlo;305
Tytsjerksteradiel;726
Uden;410
Uitgeest;54
Uithoorn;64
Urk;155
Utrecht;863
Utrechtse Heuvelrug;174
Vaals;25
Valkenburg aan de Geul;62
Valkenswaard;86
Veendam;208
Veenendaal;177
Veere;456
Veldhoven;135
Velsen;224
Venlo;509
Venray;934
Vijfheerenlanden;402
Vlaardingen;284
Vlieland;5
Vlissingen;272
Voerendaal;57
Voorschoten;38
Voorst;204
Vught;93
Waadhoeke;773
Waalre;72
Waalwijk;226
Waddinxveen;223
Wageningen;86
Wassenaar;75
Waterland;86
Weert;252
Weesp;36
West Betuwe;1016
West Maas en Waal;158
Westerkwartier;468
Westerveld;115
Westervoort;30
Westerwolde;79
Westland;1675
Weststellingwerf;154
Westvoorne;58
Wierden;153
Wijchen;172
Wijdemeren;92
Wijk bij Duurstede;49
Winterswijk;107
Woensdrecht;150
Woerden;257
De Wolden;146
Wormerland;66
Woudenberg;63
Zaanstad;394
Zaltbommel;118
Zandvoort;24
Zeewolde;2720
Zeist;137
Zevenaar;246
Zoetermeer;289
Zoeterwoude;124
Zuidplas;218
Zundert;92
Zutphen;156
Zwartewaterland;98
Zwijndrecht;89
Zwolle;559
Gemeente onbekend;0
