nr;gemeente;provincie;status;realisatie jaar;type;vermogen;(aan)deel groter windpark;;;;;;;;;;;;;;;;;
1;Borger-Odoorn;Drenthe;gepland;2019;windcoöperatie;6136;;;;;;;;;;;;;;;;;;
1;Zeewolde;Flevoland;gerealiseerd;2011;windcoöperatie;1850;;;;;;;;;;;;;;;;;;
2;Zeewolde;Flevoland;gerealiseerd;2016;windcoöperatie;850;;;;;;;;;;;;;;;;;;
3;Zeewolde;Flevoland;gepland;2019;windcoöperatie;1502;;;;;;;;;;;;;;;;;;
4;Zeewolde;Flevoland;gepland;2019;windcoöperatie;-850;;;;;;;;;;;;;;;;;;
5;Almere;Flevoland;gepland;2021;windcoöperatie;6800;;;;;;;;;;;;;;;;;;
1;Bedum;Friesland;gerealiseerd;2016;projectcoöperatie;900;;;;;;;;;;;;;;;;;;
2;Reduzum;Friesland;gerealiseerd;2011;windcoöperatie;225;;;;;;;;;;;;;;;;;;
3;Witmarsum;Friesland;gerealiseerd;2009;windcoöperatie;960;;;;;;;;;;;;;;;;;;
5;Waadhoeke;Friesland;gerealiseerd;2018;projectcoöperatie;900;;;;;;;;;;;;;;;;;;
6;Súdwest-Fryslân;Friesland;gepland;2019;projectcoöperatie;80;;;;;;;;;;;;;;;;;;
7;Súdwest-Fryslân;Friesland;gepland;2019;projectcoöperatie;;;;;;;;;;;;;;;;;;;
8; opslag)  ;Tietjerksteradeel;Friesland;2021;lokale coöperatie;3000;;;;;;;;;;;;;;;;;;
9;Reduzum;Friesland;voorbereiding;2021;windcoöperatie;900;;;;;;;;;;;;;;;;;;
1;Culemborg;Gelderland;gerealiseerd;2013;projectcoöperatie;2000;;;;;;;;;;;;;;;;;;
2;Culemborg;Gelderland;gerealiseerd;2013;projectcoöperatie;2000;;;;;;;;;;;;;;;;;;
3;Culemborg;Gelderland;gerealiseerd;2013;projectcoöperatie;2000;;;;;;;;;;;;;;;;;;
4;Nijmegen;Gelderland;gerealiseerd;2016;windcoöperatie;10000;;;;;;;;;;;;;;;;;;
5;Oude IJsselstreek;Gelderland;gerealiseerd;2016;participatie (via coöperatie);;;;;;;;;;;;;;;;;;;
6;Arnhem;Gelderland;gepland;2019;lokale coöperatie;9000;;;;;;;;;;;;;;;;;;
7;Geldermalsen;Gelderland;gepland;2019;lokale coöperatie;10350;;;;;;;;;;;;;;;;;;
8;Neerijnen;Gelderland;gepland;2019;lokale coöperatie;16800;;;;;;;;;;;;;;;;;;
9;Zutphen;Gelderland;gepland;2021;lokale coöperatie;3000;;;;;;;;;;;;;;;;;;
10;Wijchen;Gelderland;voorbereiding;2021;ontwikkelaar;6000;;;;;;;;;;;;;;;;;;
11;Bergerden;Gelderland;oriëntatie;2021;lokale coöperatie;;;;;;;;;;;;;;;;;;;
12;Ede;Gelderland;oriëntatie;2022;lokale coöperatie;;;;;;;;;;;;;;;;;;;
13;Renkum;Gelderland;oriëntatie;2022;lokale coöperatie;;;;;;;;;;;;;;;;;;;
1;Delfzijl;Groningen;gerealiseerd;2012;projectcoöperatie;2300;;;;;;;;;;;;;;;;;;
2;Delfzijl;Groningen;gerealiseerd;2012;projectcoöperatie;2300;;;;;;;;;;;;;;;;;;
3;Loppersum;Groningen;oriëntatie;2022;lokale coöperatie;3500;;;;;;;;;;;;;;;;;;
1;Leudal;Limburg;gerealiseerd;2015;windcoöperatie;2400;;;;;;;;;;;;;;;;;;
2;Leudal;Limburg;gepland;2019;windcoöperatie;8000;;;;;;;;;;;;;;;;;;
3;Leudal;Limburg;gepland;2019;lokale coöperatie;12000;;;;;;;;;;;;;;;;;;
4;Nederweert;Limburg;gepland;2019;windcoöperatie;8000;;;;;;;;;;;;;;;;;;
5;Peel en Maas;Limburg;gepland;2019;lokale coöperatie;5000;;;;;;;;;;;;;;;;;;
6;Venlo;Limburg;gepland;2019;lokale coöperatie;13200;;;;;;;;;;;;;;;;;;
7;Weert;Limburg;gepland;2019;lokale coöperatie;6000;;;;;;;;;;;;;;;;;;
8;Sittard-Geleen;Limburg;voorbereiding;2021;lokale coöperatie;3500;;;;;;;;;;;;;;;;;;
1;Zundert;Noord-Brabant;gerealiseerd;2016;participatie/coop;;;;;;;;;;;;;;;;;;;
2;s’Hertogenbosch;Noord-Brabant;gepland;2019;windcoöperatie;3200;;;;;;;;;;;;;;;;;;
3;Tilburg;Noord-Brabant;gepland;2019;lokale coöperatie;7200;;;;;;;;;;;;;;;;;;
4;Terheijden;Noord-Brabant;voorbereiding;2021;lokale coöperatie;2250;;;;;;;;;;;;;;;;;;
