nr;gemeente;provincie;status;realisatiejaar;dak/grond;type;vermogen;regeling;;
1;Assen;Drenthe;gerealiseerd;2017;dak;lokale coöperatie;55;postcoderoos;;
2;Assen;Drenthe;gerealiseerd;2018;dak;lokale coöperatie;26;salderen;;
3;Assen;Drenthe;gerealiseerd;2013;dak;participatie;21;salderen;;
4;Coevorden;Drenthe;gerealiseerd;2017;dak;projectcoöperatie;44;postcoderoos;;
5;De Wolden;Drenthe;gerealiseerd;2015;dak;lokale coöperatie;166;SDE;;
6;De Wolden;Drenthe;gerealiseerd;2018;dak;lokale coöperatie;104;SDE;;
7;De Wolden;Drenthe;gerealiseerd;2018;dak;lokale coöperatie;56;postcoderoos;;
8;De Wolden;Drenthe;gerealiseerd;2017;dak;lokale coöperatie;50;postcoderoos;;
9;Langelo;Drenthe;gerealiseerd;2016;dak;lokale coöperatie;45;postcoderoos;;
10;Meppel;Drenthe;gerealiseerd;2018;dak;lokale coöperatie;45;postcoderoos;;
11;Assen;Drenthe;gepland;2019;dak;lokale coöperatie;;postcoderoos;;
12;Assen;Drenthe;gepland;2019;dak;lokale coöperatie;;postcoderoos;;
13;De Wolden;Drenthe;gepland;2019;dak;projectcoöperatie;47;postcoderoos;;
14;Emmen;Drenthe;gepland;2019;grond;lokale coöperatie;503;postcoderoos;;
15;Langelo;Drenthe;gepland;2019;grond;lokale coöperatie;825;SDE;;
16;Noordenveld;Drenthe;gepland;2019;dak;lokale coöperatie;75;postcoderoos;;
17;Noordenveld;Drenthe;gepland;2019;dak;lokale coöperatie;;SDE/postcoderoos;;
18;Westerveld;Drenthe;gepland;2019;dak;lokale coöperatie;275;postcoderoos;;
19;Assen;Drenthe;voorbereiding;2020;grond;lokale coöperatie;;onbekend;;
20;Coevorden;Drenthe;voorbereiding;2020;dak;lokale coöperatie;;postcoderoos;;
21;Coevorden;Drenthe;voorbereiding;2020;grond;projectcoöperatie;;postcoderoos;;
22;De Wolden;Drenthe;voorbereiding;2020;grond;lokale coöperatie;350;SDE;;
23;Emmen;Drenthe;voorbereiding;2020;dak;lokale coöperatie;286;postcoderoos;;
24;Midden-Drenthe;Drenthe;voorbereiding;2020;grond;lokale coöperatie;12300;SDE;;
25;Midden-Drenthe;Drenthe;voorbereiding;2020;dak;projectcoöperatie;;postcoderoos;;
26;;;;;;;;;;
(grootschalig, deel participatie met coöperatie);Midden-Drenthe;Drenthe;voorbereiding;2020;grond;lokale coöperatie;;SDE;;
27;Tynaarlo;Drenthe;stopgezet na realisatie;2016;grond;projectcoöperatie;23;postcoderoos;;
1;Almere;Flevoland;gerealiseerd;2017;dak;lokale coöperatie;19;SDE;;
2;Almere;Flevoland;gerealiseerd;2016;dak;lokale coöperatie;55;salderen;;
3;Almere;Flevoland;gerealiseerd;2015;dak;lokale coöperatie;30;salderen;;
4;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;38;SDE;;
5;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;29;SDE;;
6;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;42;SDE;;
7;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;52;SDE;;
8;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;39;SDE;;
9;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;54;SDE;;
10;Almere;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;57;SDE;;
11;Noordoostpolder;Flevoland;gerealiseerd;2017;dak;lokale coöperatie;42;salderen;;
12;Noordoostpolder;Flevoland;gerealiseerd;2017;dak;lokale coöperatie;43;postcoderoos;;
13;Noordoostpolder;Flevoland;gerealiseerd;2017;dak;lokale coöperatie;47;postcoderoos;;
14;Noordoostpolder;Flevoland;gerealiseerd;2018;dak;lokale coöperatie;;postcoderoos;;
15;Noordoostpolder;Flevoland;gerealiseerd;2015;dak;participatie;39;SDE;;
16;Emmeloord;Flevoland;gepland;2019;grond;lokale coöperatie;;postcoderoos;;
17;Almere;Flevoland;voorbereiding;2020;grond;lokale coöperatie;;onbekend;;
1;Ameland;Friesland;gerealiseerd;2018;dak;lokale coöperatie;55;postcoderoos;;
2;Ameland;Friesland;gerealiseerd;2016;grond;lokale coöperatie;1980;SDE;;
3;de Fryske marren;Friesland;gerealiseerd;2016;dak;lokale coöperatie;59;postcoderoos;;
4;De Fryske Marren;Friesland;gerealiseerd;2018;dak;lokale coöperatie;68;postcoderoos;;
5;De Fryske Marren;Friesland;gerealiseerd;2012;dak;lokale coöperatie;2;salderen;;
6;Ferwerderadiel;Friesland;gerealiseerd;2018;dak;lokale coöperatie;60;postcoderoos;;
7;Ferwerderadiel;Friesland;gerealiseerd;2018;dak;lokale coöperatie;53;postcoderoos;;
8;Heerenveen;Friesland;gerealiseerd;2018;dak;lokale coöperatie;31;postcoderoos;;
9;Leeuwarden;Friesland;gerealiseerd;2014;dak;participatie;161;salderen;;
10;Leeuwarden;Friesland;gerealiseerd;2014;dak;participatie;91;salderen;;
11;Leeuwarden;Friesland;gerealiseerd;2013;dak;participatie;24;salderen;;
12;Leeuwarden;Friesland;gerealiseerd;2017;dak;participatie;50;SDE;;
13;Littenseradiel;Friesland;gerealiseerd;2018;dak;lokale coöperatie;77;postcoderoos;;
14;Schiermonnikoog;Friesland;gerealiseerd;2018;dak;lokale coöperatie;58;postcoderoos;;
15;Súdwest-Fryslân;Friesland;gerealiseerd;2017;dak;lokale coöperatie;55;postcoderoos;;
16;Súdwest-Fryslân;Friesland;gerealiseerd;2017;dak;lokale coöperatie;70;postcoderoos;;
17;Súdwest-Fryslân;Friesland;gerealiseerd;2018;dak;lokale coöperatie;59;postcoderoos;;
18;Terschelling;Friesland;gerealiseerd;2018;grond/ dak;lokale coöperatie;428;SDE;;
19;Tytsjerksteradiel;Friesland;gerealiseerd;2016;grond;lokale coöperatie;7000;SDE;;
20;Vlieland;Friesland;gerealiseerd;2018;grond;lokale coöperatie;1012;SDE;;
21;Waadhoeke;Friesland;gerealiseerd;2017;dak;lokale coöperatie;55;postcoderoos;;
22;Waadhoeke;Friesland;gerealiseerd;2018;dak;lokale coöperatie;55;postcoderoos;;
23;Waadhoeke;Friesland;gerealiseerd;2017;dak;lokale coöperatie;55;postcoderoos;;
24;Waadhoeke;Friesland;gerealiseerd;2018;dak;lokale coöperatie;55;postcoderoos;;
25;Waadhoeke;Friesland;gerealiseerd;2018;dak;lokale coöperatie;55;postcoderoos;;
26;Waadhoeke;Friesland;gerealiseerd;2018;dak;lokale coöperatie;10;salderen;;
27;Waadhoeke;Friesland;gerealiseerd;2016;dak;lokale coöperatie;312;SDE;;
28;Waadhoeke;Friesland;gerealiseerd;2017;dak;lokale coöperatie;39;postcoderoos;;
29;Weststellingwerf;Friesland;gerealiseerd;2018;dak;lokale coöperatie;54;postcoderoos;;
30;Bolsward;Friesland;gepland;2019;dak;lokale coöperatie;57;postcoderoos;;
31;de Fryske marren;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
32;Dongeradeel;Friesland;gepland;2019;dak;lokale coöperatie;438;SDE;;
33;Ferwerderadiel;Friesland;gepland;2019;dak;lokale coöperatie;;postcoderoos;;
34;Fryske Marren;Friesland;gepland;2019;dak;lokale coöperatie;61;postcoderoos;;
35;Harlingen;Friesland;gepland;2019;grond;projectcoöperatie;917;SDE;;
36;Heerenveen;Friesland;gepland;2019;dak;lokale coöperatie;;postcoderoos;;
37;Kollumerland en Nieuwkruisland;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
38;Leeuwarden;Friesland;gepland;2019;grond;lokale coöperatie;2600;SDE;;
39;Littenseradiel;Friesland;gepland;2019;dak;lokale coöperatie;77;postcoderoos;;
40;Ooststellingwerf;Friesland;gepland;2019;dak;lokale coöperatie;60;postcoderoos;;
41;Opsterland;Friesland;gepland;2019;dak;lokale coöperatie;432;postcoderoos;;
42;Opsterland;Friesland;gepland;2019;dak;lokale coöperatie;2000;SDE;;
43;Schiermonnikoog;Friesland;gepland;2019;dak;lokale coöperatie;58;postcoderoos;;
44;Súdwest-Fryslân;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
45;Súdwest-Fryslân;Friesland;gepland;2019;dak;lokale coöperatie;377;postcoderoos;;
46;Súdwest-Fryslân;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
47;Súdwest-Fryslân;Friesland;gepland;2019;grond;projectcoöperatie;67;postcoderoos;;
48;Tytsjerksteradiel;Friesland;gepland;2019;dak;lokale coöperatie;177;postcoderoos;;
49;Tytsjerksteradiel;Friesland;gepland;2019;dak;lokale coöperatie;1180;SDE;;
50;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
51;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;175;SDE;;
52;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
53;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
54;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;55;postcoderoos;;
55;Waadhoeke;Friesland;gepland;2019;dak;lokale coöperatie;189;SDE;;
56;Achtkarspelen;Friesland;voorbereiding;2020;dak;lokale coöperatie;55;postcoderoos;;
57;Ameland;Friesland;voorbereiding;2020;grond;lokale coöperatie;1333;SDE;;
58;Dongeradeel;Friesland;voorbereiding;2020;dak;lokale coöperatie;371;postcoderoos;;
59;Heerenveen;Friesland;voorbereiding;2020;grond;lokale coöperatie;2000;SDE;;
60;Opsterland;Friesland;voorbereiding;2020;grond;lokale coöperatie;687;SDE;;
61;Súdwest-Fryslân;Friesland;voorbereiding;2020;dak;lokale coöperatie;138;SDE;;
62;Súdwest-Fryslân;Friesland;voorbereiding;2020;grond;lokale coöperatie;2340;SDE;;
63;Tytsjerksteradiel;Friesland;voorbereiding;2020;grond;lokale coöperatie;2400;SDE;;
64;Tytsjerksteradiel;Friesland;voorbereiding;2020;dak;lokale coöperatie;236;postcoderoos;;
65;Opsterland;Friesland;voorbereiding;2020;dak;lokale coöperatie;;postcoderoos;;
1;;;;;;;;;;
;Apeldoorn;Gelderland;gerealiseerd;2015;dak;lokale coöperatie;292;salderen;;
2;Apeldoorn;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;64;postcoderoos;;
3;Apeldoorn;Gelderland;gerealiseerd;2014;dak;lokale coöperatie;63;salderen;;
4;Apeldoorn;Gelderland;gerealiseerd;2016;dak;lokale coöperatie;56;salderen;;
5;Apeldoorn;Gelderland;gerealiseerd;2015;dak;lokale coöperatie;129;salderen;;
6;Apeldoorn;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;78;postcoderoos;;
7;Apeldoorn;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;53;postcoderoos;;
8;Apeldoorn;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;53;postcoderoos;;
9;Apeldoorn;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;58;postcoderoos;;
10;Apeldoorn;Gelderland;gerealiseerd;2016;dak;lokale coöperatie;578;SDE;;
11;Apeldoorn;Gelderland;gerealiseerd;2016;dak;projectcoöperatie;37;postcoderoos;;
12;Arnhem;Gelderland;gerealiseerd;2013;dak;participatie;172;SDE;;
13;Arnhem;Gelderland;gerealiseerd;2014;dak;lokale coöperatie;8;salderen;;
14;Arnhem;Gelderland;gerealiseerd;2014;dak;lokale coöperatie;57;salderen;;
15;Arnhem;Gelderland;gerealiseerd;2016;dak;lokale coöperatie;34;salderen;;
16;Arnhem;Gelderland;gerealiseerd;2015;dak;lokale coöperatie;54;salderen;;
17;Barneveld;Gelderland;gerealiseerd;2017;dak;participatie;243;SDE;;
18;Berkelland;Gelderland;gerealiseerd;2017;dak;lokale coöperatie;131;postcoderoos;;
19;Berkelland;Gelderland;gerealiseerd;2015;dak;lokale coöperatie;47;postcoderoos;;
20;Berkelland;Gelderland;gerealiseerd;2016;dak;lokale coöperatie;22;postcoderoos;;
21;Berkelland;Gelderland;gerealiseerd;2017;dak;lokale coöperatie;101;postcoderoos;;
22;Berkelland;Gelderland;gerealiseerd;2017;dak;lokale coöperatie;98;postcoderoos;;
23;Bronckhorst;Gelderland;gerealiseerd;2018;dak;lokale coöperatie;222;postcoderoos;;
24;Bronckhorst;Gelderland;gerealiseerd;2016;dak;lokale coöperatie;50;postcoderoos;;
25;Bronckhorst;Gelderland;gerealiseerd;2018;dak;participatie;299;SDE;;
